SAMPLE,EV1,EV37,GT011,GT023,GT195,GT211,GT271,GT310,GT575,GATA028,GATA053,GATA098,GATA417,GGAA520,TAA023,ZFX
CAN-92-B0-F001,157163,197197,123129,127127,161169,118120,112018,112130,154154,191207,246270,096100,273281,207215,086095,212245
CAN-92-B0-F002,157157,193195,127131,125125,173175,114116,116116,112112,152154,215227,262262,104108,221277,211223,095095,245245
CAN-92-B0-F003,157157,193195,127131,125125,173175,114116,114120,112112,152154,215227,262262,104104,221277,211223,095095,245245
CAN-92-B0-F004,163165,183199,125129,131133,171175,120120,114118,112126,154156,207227,246262,096108,225281,211223,092101,212245
CAN-92-B0-F005,157157,195201,123123,109127,167175,112118,116118,112112,154154,219219,262262,096108,269269,211215,095095,245245
CAN-92-B0-F006,163171,183199,127127,127133,161169,120124,116118,112112,152156,227231,246266,100100,229261,219219,095095,245245
CAN-92-B0-F007,157157,195201,123123,109127,167175,112118,116116,112112,154154,219219,262262,096108,269269,207211,086086,245245
CAN-92-B0-F008,159175,187199,123127,123127,161171,120120,118120,110112,152154,207211,246262,096112,277281,207215,086104,212245
CAN-92-B0-F009,157163,197211,123129,121125,171173,112120,118120,110112,148154,219235,246246,096108,213273,211215,095095,212245
CAN-93-B0-EC930102,163169,197201,117129,129133,171177,118120,114118,112112,154154,219231,262266,100100,225273,219223,095101,212245
CAN-93-B0-EC930103,163177,183197,117125,127127,173177,106122,116118,112112,152154,227231,266270,096096,269277,219223,086086,245245
CAN-93-B0-EC930104,157157,193199,119127,125131,161179,116116,116116,112122,154160,219231,246262,104108,217273,203207,095101,212245
CAN-93-B0-EC930105,163177,183197,117125,127127,173177,106122,114118,112112,152154,227231,266270,096096,269277,000000,086086,245245
ESP-85-B0-03,155163,193193,119127,123129,161175,112118,114114,112112,152154,195227,246246,096108,229273,211211,086086,245245
ESP-85-B0-04,159169,191199,117123,123131,173175,106120,108114,110112,150156,223227,246246,104108,225281,211227,086098,245245
ESP-85-B0-05,157177,183193,119127,121129,173177,112120,108116,112124,154158,227231,246246,096108,269273,211219,086101,245245
ESP-85-B0-06,169169,197197,129129,125129,161171,110114,116118,124126,154154,227231,262266,096108,225265,203223,095095,245245
ESP-85-B0-07,169169,197197,125127,125129,161171,120120,000000,124126,156158,219231,246262,096108,237265,211227,095095,245245
ESP-85-B0-08,157159,183201,129131,109125,173177,116116,116128,110126,152154,207227,262270,100104,265269,211215,095101,212245
ESP-85-B0-09,157159,193197,123127,127133,167173,120120,118118,110110,154158,199227,262262,096104,269273,207207,098101,245245
ESP-85-B0-10,157169,187193,125127,129133,161171,120124,114128,110120,152154,219223,246246,096096,269281,211231,101101,245245
ESP-85-B0-11,145157,193197,117125,129129,161169,108120,118118,110112,154160,227235,246262,096100,269273,211211,095095,245245
ESP-85-B0-12,163163,183183,119125,129129,171173,120122,114116,112126,154154,227227,262262,104104,269269,219223,098104,212245
ESP-85-B0-13,157169,183191,127129,127129,161169,120120,118120,110112,152152,223227,246250,100104,221225,211215,095101,245245
ESP-85-B0-14,157157,183197,125125,129131,173175,114120,116116,122126,152154,227227,262270,096096,225277,203215,095095,245245
ESP-85-B0-15,157157,181195,129129,127133,175175,120122,114116,110112,156156,215219,246262,096116,217273,203203,095101,245245
ESP-85-B0-16,163169,183195,125129,129129,173179,114120,110114,112126,154160,227227,246266,096112,229281,203219,086086,245245
ESP-85-B0-17,157165,193197,125129,127127,173177,120120,114114,112120,150152,203235,246262,104116,261281,203207,086095,245245
ESP-85-B0-18,145159,181199,129129,129133,171173,120120,114114,112112,150154,199215,270270,096100,269277,207219,086095,212245
ESP-85-B0-19,157157,183193,119125,125129,161175,106116,118120,110126,146152,223227,266270,100104,229269,215215,101101,245245
ESP-85-B0-20,163171,195197,123125,121129,161171,112120,116116,126126,152154,211227,262266,096104,000000,207211,101101,245245
ESP-85-B0-21,157159,193201,125125,125131,173173,114114,118118,112112,154158,223227,246270,100104,225269,223223,101101,245245
ESP-85-B0-22,169175,183197,117119,123123,161169,112116,114116,110112,146154,191231,246266,104104,225269,207219,086095,245245
ESP-85-B0-23,169175,183197,119127,123123,171173,116120,114114,110112,154154,219231,262270,104104,229281,207231,000000,245245
ESP-85-B0-24,163169,181197,117117,127131,161171,118118,114114,110112,152154,207219,246270,104112,269273,219223,086092,245245
ESP-85-B0-25,157175,187193,117117,129129,161173,106112,114114,110116,154154,207227,242270,104108,225269,211211,095101,245245
ESP-85-B0-26,159173,187193,119129,125127,171175,120120,116116,110122,152154,215231,246250,096108,217225,223227,086095,212245
ESP-85-B0-27,169171,193193,129129,127127,161177,116116,116116,110112,152160,211211,262266,096104,269285,223223,092104,212245
ESP-85-B0-28,159175,183197,127127,127133,161171,116118,114120,110110,152154,231231,246246,100104,225261,207207,086095,212245
ESP-85-B0-29,159175,187193,127127,133133,000000,114120,116116,108108,152154,207207,246262,092096,269277,203215,092101,245245
ESP-85-B0-30,157159,183187,123125,109127,161161,116118,116118,110112,152152,207231,246262,104104,265269,207215,101101,212245
ESP-85-B0-32,163171,183197,127129,133133,173175,000000,114114,112126,152154,199223,266266,096108,225265,207211,095095,245245
ESP-85-B0-33,169169,191191,129129,125129,161177,106112,116128,112112,152154,207231,246262,096104,217225,199215,095104,245245
ESP-85-B0-34,157159,187197,119125,123125,169175,106112,116116,112126,156156,227231,246262,108120,221225,207215,095101,212245
ESP-85-B0-35,169169,183195,127131,127141,161161,116118,116116,110110,154154,199227,262270,108108,225237,211219,000000,212245
ESP-85-B0-37,165169,183211,123127,125127,169171,106120,114116,112112,152152,191231,262266,100116,000000,211219,086095,245245
ESP-85-B0-38,163173,193195,117131,123129,161173,120126,108114,112112,154158,191227,246262,096104,229269,215219,086095,245245
ESP-85-B0-39,169175,191197,127129,125129,171173,106116,116120,112126,154154,219223,250266,092100,000000,219219,095104,212245
ESP-85-B0-40,157173,193213,123127,129129,161173,112116,116122,110112,146154,207227,266266,100100,273285,211211,095101,212245
ESP-85-B0-42,157169,193193,119127,133135,169173,116116,116116,112112,146154,227231,266270,100108,225265,203207,101104,212245
ESP-85-B0-43,157163,183193,127129,129135,171173,114120,114120,110110,146154,211235,246250,096104,269269,207211,095095,245245
ESP-85-B0-44,155169,183183,119125,125127,173175,118118,110110,110110,154158,207219,246246,100108,269269,207223,095101,245245
ESP-85-B0-45,157171,183187,125131,129129,171173,118120,118118,112126,152156,227231,262274,100108,257273,219231,098098,212245
ESP-85-B0-46,157169,193195,125127,129133,171173,112120,114116,112126,154160,211235,246270,096108,229269,203211,086095,212245
ESP-85-B0-47,157169,183197,127129,129129,175175,106120,114120,112112,152152,219227,246262,096108,285285,211215,095095,212245
ESP-85-B0-48,157157,191201,123129,133133,161173,120124,114114,122126,156158,211235,000000,096112,265269,207211,101101,245245
GRE-00-05-05-10,173173,183213,125129,129143,175175,110112,114116,112124,154154,191219,246258,100108,225285,207215,095101,245245
GRE-03-09-29-09,157159,193197,129131,129129,173173,106120,116116,110126,152152,211215,250262,096100,217229,215215,086101,245245
GRE-04-08-02-04,163163,187201,125125,127129,171173,106120,126128,120122,152154,199231,246262,096108,269281,223223,095104,212245
GRE-04-08-04-01,159161,195195,123123,099103,173173,106112,104104,126126,164164,215219,262262,096104,245249,000000,092092,245245
GRE-04-08-20-02,163169,193211,127127,127127,161169,116120,114116,112112,152160,207223,246266,100104,225269,207215,095098,212212
GRE-04-09-12-07,157157,193213,129131,129133,161175,112116,116120,106126,152154,191223,246262,100100,265269,207219,101104,245245
GRE-04-09-13-06,157173,181195,129129,127133,161171,106120,114116,112112,154154,203227,000000,096104,000000,207215,086095,245245
GRE-04-09-20-05,163171,197213,129129,125135,161173,116120,116120,112112,152152,227231,262266,096104,261289,207227,086095,212245
GRE-04-11-02-08,163171,187195,123129,125133,171175,120122,116116,110126,152152,227231,262262,100108,213225,211223,095095,245245
GREEN-05-XY-1,157157,183193,127131,129133,161175,106120,000000,110112,152156,227231,262266,000000,261285,207219,095098,245245
GREEN-05-XY-10,163169,187193,123129,129133,163181,116122,114114,110112,152154,223231,246262,100104,217273,203215,095101,245245
GREEN-05-XY-2,157173,195197,125127,127129,171177,106110,000000,110112,152154,203215,246250,096100,229269,211215,098101,212245
GREEN-05-XY-3,157173,183193,129129,127133,161169,106120,000000,110112,154154,227227,246246,100100,229269,215215,095095,245245
GREEN-05-XY-4,157171,187197,127127,125127,161173,108114,118120,110126,146150,203220,246270,096112,225277,215223,095095,245245
GREEN-05-XY-6,169169,191197,123131,123133,169177,106114,116116,110126,146152,223231,246246,100104,261265,203235,086095,245245
GREEN-05-XY-7,161163,195199,123123,099105,173177,104114,106106,126126,164168,211223,258262,096096,245265,000000,092092,212245
GREEN-05-XY-8,171171,187193,123125,133143,171173,116120,110116,112112,152154,227235,246262,096100,229273,211219,095101,245245
GREEN-05-XY-9,159169,189197,129131,121133,161173,116120,118120,112126,152158,207211,266270,104104,213265,000000,095095,245245
IC-06-1,165175,195195,125129,121133,161169,120124,116116,112126,148152,219239,246246,092104,285285,211215,086095,245245
IC-06-2,169175,193193,119127,127127,161171,116122,116122,112112,146154,191235,266266,108108,269269,219223,000000,245245
IC-06-3,157169,183187,123129,127129,161175,106114,114114,112126,154154,191239,246262,100104,225265,211215,000000,245245
